kind	dataset	read_length	filename	size_bytes	sha256	source
tool	all		art_illumina	14730772	279c6dfbde61500df632cd7970b3bd6ea6b02b69d35d15970019ab09eb55d6df	ART_Illumina Q 2.5.8 MountRainier Linux binary
semantics	all		art_illumina_README.txt	15806	cf9cf1b44d0f83408af2b339b7a74c1a52581c0b5f999e2b7116e90869537ad0	ART_Illumina Q 2.5.8 distribution
converter	all		aln2bed.pl	1462	00b3af7203a615626c1eed7645b319c8825c1b92e52507434f4ce309bf24efe3	ART_Illumina Q 2.5.8 distribution
reference	Human_GRCh38		GCF_000001405.40_GRCh38.p14_genomic.fna	3339739109	df6e4918316e05a9cc1fd29c352841d3678b607d7a436819cd43371b52c814c0	NCBI RefSeq GCF_000001405.40
FASTQ	Human_GRCh38	100	sim_se_100bp_500K.fq	116966621	7464f8a449d5f6c3fde97346e74445ad01fb6e6aff0fef82e274853d0f2ae548	ART HS25 seed 42 coverage 0.0167
ART_ALN	Human_GRCh38	100	sim_se_100bp_500K.aln	128617844	0c53a3bec23d8bda9f09d66a1969e24ada536e7d01942ad0aaaf8ec962291ea0	ART HS25 seed 42 coverage 0.0167
historical_truth	Human_GRCh38	100	sim_se_100bp_500K_truth_qpos.tsv	21176985	7a7d45bedc95d396deeb33ef271d63eed31fcd956497a9931a2f04806e6aa8dd	Reduced compatibility view of ART ALN
FASTQ	Human_GRCh38	150	sim_se_150bp_500K.fq	168871174	d21279c25f734f8ddcb7cad2f453ab0db8c018d77582e97d922255c8c56b089c	ART HS25 seed 42 coverage 0.025
ART_ALN	Human_GRCh38	150	sim_se_150bp_500K.aln	180490902	d202ca09f443853855d9bf767143790dc3eaf2fb9ab895be845e0c44a487a359	ART HS25 seed 42 coverage 0.025
historical_truth	Human_GRCh38	150	sim_se_150bp_500K_truth_qpos.tsv	21118520	362abd8bb5dd2a5478811958e40f9f99bb2e51ccd804fd6cac144d96aa20bae8	Reduced compatibility view of ART ALN
reference	Zea_mays		Zm-B73-REFERENCE-NAM-5.0.fa	2209359010	52f0663221e46f562eb0923c6dfa1bb43537abb7f13e0f637b5def2571de2c11	MaizeGDB B73 RefGen_v5
FASTQ	Zea_mays	100	sim_zeamays_se_100bp_500K.fq	110426369	cb7600c3610f09bb529be32e0bdf20b57eb1111efb866e40790da50ed92ea10c	ART HS25 seed 42 coverage 0.0235
ART_ALN	Zea_mays	100	sim_zeamays_se_100bp_500K.aln	117884478	0cebb41ff8d4eb325bd5bde9a4f22b9413e86d0766c55878007d35105ac3f9d2	ART HS25 seed 42 coverage 0.0235
historical_truth	Zea_mays	100	sim_zeamay_se_100bp_500K_truth_qpos.tsv	12999566	4723ec0c7a088cf506fbadbe49cbea57e5ea11e3675a3f88d2be71539faa379d	Reduced compatibility view of ART ALN
FASTQ	Zea_mays	150	sim_zeamays_se_150bp_500K.fq	161815255	a2a6ae1b7a2b574632bcc7f8fabb65807fce3705beae5e241845009c4d72f3f4	ART HS25 seed 42 coverage 0.0353
ART_ALN	Zea_mays	150	sim_zeamays_se_150bp_500K.aln	169284912	9da15aee88ead6e46d4fb65bf49f4d9bf4a4abc81a62da7c781cce03745b1ac1	ART HS25 seed 42 coverage 0.0353
historical_truth	Zea_mays	150	sim_zeamay_se_150bp_500K_truth_qpos.tsv	13019178	6bec1b8b176c52a7daa5e88a8f109b2fadc4297fcc84c16a25a6c1244e833ee6	Reduced compatibility view of ART ALN
repeat_source	Human_GRCh38		hg38_repeats.bed	211063376	fe9dd792d266a2ae2868da4993b6706ef257a7f8e41ae5f85731efcfbbf473dc	Recovered UCSC hg38 rmsk-derived BED; historical export command and ordering not preserved
repeat_BED	Human_GRCh38		hg38_repeats_refseq.bed	233983952	74a5a4b8887b7ad061ad81feca8546df8a3668651d0c0e7e187e9b08f403d1a2	25 assembled chromosomes converted to RefSeq names
repeat_source	Zea_mays		Zm-B73-REFERENCE-NAM-5.0.TE.gff3	342920266	025c61d382dfc0355a09badd98c7197ad7a15eaf4c271cdea6ad3b53eccbbdc6	https://download.maizegdb.org/Zm-B73-REFERENCE-NAM-5.0/Zm-B73-REFERENCE-NAM-5.0.TE.gff3.gz
repeat_BED	Zea_mays		maize_repeats_raw.bed	79599886	e402860999e6de118f3deada95de01bc96e80ffc4f505b5962abfca687fab0e9	GFF3 1-based inclusive to BED 0-based half-open
